epoca,loss,accuracy,recall,precision,lr 
214,0.19312000274658203,0.87711,0.89986,0.85715,0.0000250000
215,0.19392000138759613,0.87735,0.90005,0.8574,0.0000250000
216,0.19221000373363495,0.8776,0.90023,0.85767,0.0000250000
217,0.1932699978351593,0.87785,0.90042,0.85792,0.0000250000
218,0.19394999742507935,0.87809,0.90062,0.85815,0.0000250000
219,0.19298000633716583,0.87833,0.90081,0.85839,0.0000250000
220,0.19243000447750092,0.87857,0.90099,0.85863,0.0000250000
221,0.19520999491214752,0.8788,0.90115,0.85887,0.0000250000
222,0.19283999502658844,0.87903,0.90133,0.85911,0.0000250000
223,0.1940000057220459,0.87926,0.9015,0.85933,0.0000250000
224,0.19431999325752258,0.87949,0.90165,0.85957,0.0000250000
225,0.19315999746322632,0.87971,0.90179,0.85981,0.0000250000
226,0.19311000406742096,0.87994,0.90194,0.86004,0.0000250000
227,0.19200000166893005,0.88016,0.9021,0.86028,0.0000250000
228,0.19338999688625336,0.88038,0.90226,0.86051,0.0000125000
229,0.19298000633716583,0.8806,0.90243,0.86073,0.0000125000
230,0.1949000060558319,0.88081,0.9026,0.86093,0.0000125000
231,0.193900004029274,0.88103,0.90276,0.86115,0.0000125000
232,0.1928499937057495,0.88124,0.90293,0.86136,0.0000125000
233,0.19447000324726105,0.88145,0.90309,0.86158,0.0000125000
234,0.19333000481128693,0.88166,0.90325,0.8618,0.0000125000
235,0.19404000043869019,0.88187,0.9034,0.86201,0.0000125000
236,0.1931300014257431,0.88208,0.90354,0.86222,0.0000125000
237,0.19381000101566315,0.88228,0.9037,0.86242,0.0000125000
238,0.19425000250339508,0.88248,0.90385,0.86262,0.0000125000
239,0.1923699975013733,0.88268,0.90398,0.86283,0.0000125000
240,0.19251999258995056,0.88288,0.90413,0.86303,0.0000125000
241,0.19243000447750092,0.88308,0.90427,0.86323,0.0000125000
242,0.19221000373363495,0.88328,0.90441,0.86343,0.0000125000
243,0.19061000645160675,0.88348,0.90455,0.86363,0.0000125000
244,0.19296999275684357,0.88367,0.90469,0.86383,0.0000125000
245,0.1926099956035614,0.88387,0.90483,0.86402,0.0000125000
246,0.1923699975013733,0.88406,0.90497,0.86421,0.0000125000
247,0.19279000163078308,0.88425,0.90511,0.8644,0.0000125000
248,0.19469000399112701,0.88443,0.90525,0.86458,0.0000062500
249,0.1942099928855896,0.88461,0.90538,0.86477,0.0000062500
250,0.1930299997329712,0.8848,0.90552,0.86496,0.0000062500
251,0.1929599940776825,0.88498,0.90566,0.86515,0.0000062500
252,0.19367000460624695,0.88516,0.90579,0.86533,0.0000062500
253,0.1941699981689453,0.88534,0.90591,0.86551,0.0000062500
254,0.19402000308036804,0.88551,0.90606,0.86568,0.0000062500
255,0.19347000122070312,0.88569,0.9062,0.86585,0.0000062500
256,0.19261999428272247,0.88586,0.90633,0.86603,0.0000062500
257,0.19286000728607178,0.88603,0.90646,0.8662,0.0000062500
258,0.1929900050163269,0.8862,0.90659,0.86637,0.0000062500
259,0.19256000220775604,0.88637,0.90672,0.86655,0.0000062500
260,0.1919099986553192,0.88658,0.90684,0.86673,0.0000062500
261,0.19241000711917877,0.88685,0.90696,0.8669,0.0000062500
262,0.1938299983739853,0.88712,0.90708,0.86707,0.0000062500
263,0.1928499937057495,0.88738,0.9072,0.86723,0.0000062500
264,0.1936900019645691,0.88764,0.90732,0.8674,0.0000062500
265,0.19359999895095825,0.88789,0.90744,0.86756,0.0000062500
266,0.19311000406742096,0.88815,0.90756,0.86773,0.0000062500
267,0.19277000427246094,0.88841,0.90767,0.8679,0.0000062500
268,0.19356000423431396,0.88866,0.90779,0.86806,0.0000062500
269,0.19332000613212585,0.88891,0.9079,0.86821,0.0000062500
270,0.19293999671936035,0.88916,0.90802,0.86837,0.0000062500
271,0.19417999684810638,0.8894,0.90813,0.86853,0.0000062500
272,0.19099000096321106,0.88966,0.90824,0.86868,0.0000062500
273,0.1915300041437149,0.88991,0.90836,0.86884,0.0000062500
274,0.19337999820709229,0.89015,0.90848,0.86899,0.0000062500
275,0.19689999520778656,0.89039,0.90859,0.86915,0.0000031250
276,0.19487999379634857,0.89063,0.9087,0.86929,0.0000031250
277,0.1950799971818924,0.89086,0.90881,0.86944,0.0000031250
278,0.19357000291347504,0.89109,0.90892,0.86959,0.0000031250
279,0.19321000576019287,0.89132,0.90903,0.86974,0.0000031250
280,0.192890003323555,0.89155,0.90914,0.86989,0.0000031250
281,0.19280000030994415,0.89178,0.90925,0.87003,0.0000031250
282,0.19499999284744263,0.89201,0.90936,0.87018,0.0000031250
283,0.19436000287532806,0.89223,0.90946,0.87032,0.0000031250
284,0.19220000505447388,0.89246,0.90957,0.87047,0.0000031250
285,0.19317999482154846,0.89268,0.90968,0.87061,0.0000031250
286,0.19388000667095184,0.8929,0.90978,0.87075,0.0000031250
287,0.19325999915599823,0.89312,0.90988,0.87089,0.0000031250
288,0.19213999807834625,0.89334,0.90999,0.87103,0.0000031250
289,0.19381999969482422,0.89355,0.91009,0.87117,0.0000031250
290,0.19366000592708588,0.89377,0.91018,0.8713,0.0000031250
291,0.19366000592708588,0.89398,0.91027,0.87144,0.0000031250
292,0.19370000064373016,0.89419,0.91037,0.87157,0.0000031250
293,0.19530999660491943,0.89441,0.91047,0.8717,0.0000031250
294,0.1942099928855896,0.89462,0.91056,0.87183,0.0000015625
295,0.19538000226020813,0.89483,0.91066,0.87196,0.0000015625
296,0.19405999779701233,0.89504,0.91075,0.87209,0.0000015625
297,0.19404999911785126,0.89524,0.91085,0.87222,0.0000015625
298,0.19302000105381012,0.89545,0.91095,0.87235,0.0000015625
299,0.1933699995279312,0.89566,0.91104,0.87248,0.0000015625
300,0.19470000267028809,0.89586,0.91113,0.87261,0.0000015625
301,0.19528000056743622,0.89605,0.91122,0.87274,0.0000015625
302,0.19460999965667725,0.89624,0.91131,0.87286,0.0000015625
303,0.19392000138759613,0.89644,0.9114,0.87298,0.0000015625
304,0.19348999857902527,0.89663,0.91149,0.87311,0.0000007812
305,0.1947299987077713,0.89683,0.91158,0.87323,0.0000007812
306,0.1945600062608719,0.89702,0.91168,0.87335,0.0000007812
307,0.1937199980020523,0.89721,0.91177,0.87347,0.0000007812
308,0.19321000576019287,0.89741,0.91186,0.87359,0.0000007812
309,0.1945900022983551,0.8976,0.91194,0.87371,0.0000007812
310,0.19444000720977783,0.89778,0.91203,0.87383,0.0000007812
311,0.19584999978542328,0.89797,0.91212,0.87395,0.0000007812
312,0.19607000052928925,0.89815,0.9122,0.87406,0.0000007812
313,0.19550999999046326,0.89833,0.91228,0.87417,0.0000007812
314,0.19482000172138214,0.89852,0.91236,0.87428,0.0000003906
315,0.19370000064373016,0.89869,0.91244,0.8744,0.0000003906
316,0.19323000311851501,0.89887,0.91253,0.87452,0.0000003906
317,0.1950799971818924,0.89905,0.91261,0.87463,0.0000003906
318,0.19506999850273132,0.89922,0.91269,0.87473,0.0000003906
319,0.19453999400138855,0.8994,0.91277,0.87485,0.0000003906
320,0.1951099932193756,0.89957,0.91285,0.87496,0.0000003906
321,0.19220000505447388,0.89974,0.91293,0.87507,0.0000003906
322,0.1934400051832199,0.89992,0.91301,0.87518,0.0000003906
323,0.19518999755382538,0.90009,0.91309,0.87528,0.0000003906
324,0.19304999709129333,0.90026,0.91317,0.87539,0.0000001953
325,0.19413000345230103,0.90043,0.91326,0.8755,0.0000001953
326,0.19460999965667725,0.9006,0.91333,0.87561,0.0000001953
327,0.19589999318122864,0.90077,0.91341,0.87571,0.0000001953
328,0.1940300017595291,0.90093,0.91348,0.87582,0.0000001953
329,0.1943800002336502,0.90109,0.91356,0.87592,0.0000001953
330,0.19529999792575836,0.90126,0.91363,0.87603,0.0000001953
331,0.194350004196167,0.90142,0.91371,0.87613,0.0000001953
332,0.19336000084877014,0.90158,0.91378,0.87624,0.0000001953
333,0.1942799985408783,0.90175,0.91386,0.87634,0.0000001953
